iter	Logloss
0	0.6753410564
1	0.6589308958
2	0.6445718383
3	0.6321828291
4	0.6208033475
5	0.6105959842
6	0.6015522977
7	0.5934939035
8	0.5863902344
9	0.5799092735
10	0.5740950766
11	0.5689274527
12	0.5637269531
13	0.5591347795
14	0.5554348038
15	0.5518932919
16	0.5487836539
17	0.5460232344
18	0.543261638
19	0.5410199181
20	0.5387671641
21	0.5367019124
22	0.5350787797
23	0.5335791416
24	0.5320499868
25	0.5307879801
26	0.5296387417
27	0.5285078087
28	0.5274117764
29	0.5264222156
30	0.5256470599
31	0.5248382496
32	0.5241110806
33	0.5233174046
34	0.5226553682
35	0.5220384443
36	0.5215457739
37	0.5210416522
38	0.5206455108
39	0.5202534961
40	0.5197820225
41	0.5195010019
42	0.5191885394
43	0.5188385826
44	0.5184764786
45	0.5182012284
46	0.5179050251
47	0.5176234278
48	0.5174103992
49	0.5171814698
50	0.516938537
51	0.5167747239
52	0.5165419289
53	0.5163479244
54	0.5161634299
55	0.5159968184
56	0.5157879176
57	0.5156961474
58	0.515503779
59	0.5153480312
60	0.5152140784
61	0.5151048997
62	0.5150004682
63	0.5148605949
64	0.5147527587
65	0.5146535431
66	0.5145838251
67	0.5144945593
68	0.5144144944
69	0.5143226362
70	0.5142650406
71	0.5141432372
72	0.5140597398
73	0.5139254379
74	0.513834391
75	0.5137457153
76	0.5136817587
77	0.5136015636
78	0.5135217002
79	0.5134504326
80	0.5133981106
81	0.5133354363
82	0.5132914016
83	0.5132372298
84	0.5131841685
85	0.5130745751
86	0.5130132305
87	0.5129378131
88	0.5128821827
89	0.5128409394
90	0.5127865812
91	0.5126876146
92	0.5126058964
93	0.5125564374
94	0.5124997516
95	0.5124464063
96	0.5123547669
97	0.5123211889
98	0.5122590182
99	0.5121970207
100	0.5121348631
101	0.5120884826
102	0.5120492773
103	0.5120381057
104	0.5120207891
105	0.5119821829
106	0.5119275354
107	0.5118659917
108	0.5118334603
109	0.5117983878
110	0.5117759253
111	0.5117429748
112	0.5117226799
113	0.5116916305
114	0.5116776921
115	0.5116451502
116	0.5115965605
117	0.511581541
118	0.5115440916
119	0.5115122692
120	0.5114714936
121	0.5114331534
122	0.5113809499
123	0.5113427022
124	0.5113007555
125	0.5112643081
126	0.5112241013
127	0.5111898265
128	0.5111437207
129	0.5111247393
130	0.5110945553
131	0.5110468394
132	0.5110267414
133	0.5109984764
134	0.5109585945
135	0.5109079128
136	0.5108757659
137	0.5108428249
138	0.5107947433
139	0.510767456
140	0.5107441777
141	0.5107311934
142	0.510712953
143	0.510683636
144	0.5106396885
145	0.5106162603
146	0.510585609
147	0.5105522682
148	0.5105312598
149	0.5104756751
150	0.5104391001
151	0.5103706208
152	0.5103587896
153	0.5103229625
154	0.5103031666
155	0.5102832536
156	0.51027466
157	0.5102550791
158	0.5102175169
159	0.5101849389
160	0.510160352
161	0.5101332344
162	0.5100922349
163	0.5100807203
164	0.5100325237
165	0.5100224017
166	0.509987072
167	0.5099428909
168	0.5099342264
169	0.5099064286
170	0.5098701111
171	0.5098451051
172	0.5098252019
173	0.5098175363
174	0.509792533
175	0.5097677604
176	0.50974687
177	0.5097335162
178	0.509704567
179	0.5096576419
180	0.5096259212
181	0.5096189364
182	0.5095988418
183	0.5095836949
184	0.5095602734
185	0.5095332448
186	0.5095121245
187	0.509500397
188	0.5094876985
189	0.5094576472
190	0.5094431149
191	0.5094273473
192	0.5094098818
193	0.5094013294
194	0.5093883773
195	0.5093497344
196	0.5093374438
197	0.509317631
198	0.5092681163
199	0.5092475124
200	0.5092412504
201	0.5092283818
202	0.5091915596
203	0.5091778312
204	0.5091564657
205	0.5091357768
206	0.5091227771
207	0.5090998415
208	0.5090796861
209	0.5090703126
210	0.5090607277
211	0.5090415267
212	0.5090323869
213	0.5090063583
214	0.5089934616
215	0.5089818389
216	0.5089685009
217	0.508953979
218	0.5088958254
219	0.5088653345
220	0.5088485908
221	0.5088335783
222	0.5088090931
223	0.5087928905
224	0.508790256
225	0.5087753549
226	0.5087666778
227	0.5087501277
228	0.5087369059
229	0.508707402
230	0.5086838886
231	0.5086646812
232	0.5086546694
233	0.508641161
234	0.5086255662
235	0.5086174926
236	0.5085925086
237	0.5085547542
238	0.5085319768
239	0.5085246434
240	0.5085027764
241	0.5084831993
242	0.5084759843
243	0.5084495254
244	0.5084312483
245	0.5084055442
246	0.5083981308
247	0.5083791578
248	0.5083593533
249	0.5083500539
250	0.5083014116
251	0.5082924669
252	0.5082823478
253	0.5082700691
254	0.5082555935
255	0.5082373879
256	0.5082268157
257	0.5081973535
258	0.5081777101
259	0.5081614527
260	0.5081538961
261	0.5081415574
262	0.5081341676
263	0.5081264486
264	0.5080921668
265	0.5080840406
266	0.5080645754
267	0.5080417504
268	0.5080235334
269	0.5080028291
270	0.5079851565
271	0.5079534816
272	0.5079348782
273	0.5078970295
274	0.507868352
275	0.507849317
276	0.507843884
277	0.5078381109
278	0.5078224757
279	0.5078102112
280	0.5078022311
281	0.5077847504
282	0.5077691023
283	0.5077336779
284	0.5077151826
285	0.5076990499
286	0.5076866555
287	0.507657481
288	0.5076404652
289	0.5076232871
290	0.5076041974
291	0.5075821757
292	0.5075609919
293	0.507550348
294	0.5075221908
295	0.5074970815
296	0.507483187
297	0.5074743618
298	0.5074591533
299	0.5074181991
