iter	Passed	Remaining
0	299	89496
1	442	65964
2	590	58468
3	729	54007
4	869	51283
5	1013	49647
6	1152	48237
7	1305	47644
8	1444	46718
9	1587	46029
10	1728	45420
11	1891	45399
12	2041	45080
13	2183	44609
14	2330	44281
15	2476	43955
16	2623	43669
17	2775	43476
18	2918	43158
19	3062	42881
20	3218	42759
21	3376	42669
22	3534	42563
23	3688	42422
24	3849	42343
25	4011	42280
26	4172	42185
27	4340	42160
28	4481	41877
29	4628	41659
30	4761	41314
31	4917	41182
32	5064	40976
33	5218	40830
34	5365	40622
35	5517	40462
36	5667	40286
37	5834	40227
38	5984	40047
39	6147	39956
40	6301	39804
41	6452	39637
42	6604	39474
43	6762	39342
44	6905	39133
45	7063	39003
46	7191	38710
47	7347	38572
48	7528	38566
49	7685	38429
50	7833	38243
51	7985	38084
52	8126	37870
53	8285	37745
54	8443	37611
55	8598	37463
56	8748	37295
57	8909	37173
58	9064	37026
59	9212	36849
60	9366	36696
61	9521	36549
62	9665	36360
63	9815	36194
64	9959	36006
65	10099	35807
66	10236	35597
67	10389	35447
68	10546	35306
69	10680	35094
70	10824	34914
71	10979	34769
72	11122	34587
73	11298	34507
74	11445	34337
75	11598	34183
76	11735	33986
77	11894	33852
78	12050	33710
79	12200	33550
80	12340	33364
81	12483	33187
82	12619	32992
83	12779	32862
84	12920	32680
85	13076	32538
86	13219	32365
87	13369	32207
88	13524	32062
89	13666	31888
90	13812	31723
91	13957	31555
92	14095	31373
93	14250	31229
94	14405	31085
95	14556	30931
96	14715	30795
97	14859	30629
98	15009	30473
99	15160	30321
100	15314	30174
101	15469	30029
102	15618	29872
103	15759	29700
104	15891	29511
105	16031	29340
106	16190	29202
107	16342	29053
108	16491	28897
109	16632	28728
110	16764	28545
111	16904	28375
112	17041	28200
113	17181	28032
114	17316	27856
115	17459	27694
116	17597	27525
117	17737	27357
118	17882	27199
119	18019	27029
120	18164	26870
121	18306	26708
122	18458	26562
123	18609	26414
124	18753	26255
125	18906	26108
126	19052	25953
127	19196	25795
128	19361	25665
129	19507	25509
130	19638	25335
131	19781	25176
132	19923	25016
133	20072	24865
134	20217	24710
135	20366	24559
136	20509	24401
137	20649	24240
138	20805	24098
139	20948	23941
140	21102	23796
141	21245	23639
142	21382	23475
143	21527	23321
144	21682	23177
145	21833	23029
146	21993	22891
147	22149	22748
148	22285	22584
149	22442	22442
150	22586	22287
151	22753	22154
152	22912	22013
153	23060	21862
154	23192	21696
155	23334	21539
156	23473	21380
157	23620	21228
158	23774	21083
159	23924	20933
160	24066	20777
161	24216	20629
162	24381	20492
163	24527	20340
164	24666	20182
165	24802	20021
166	24966	19883
167	25127	19743
168	25257	19578
169	25403	19425
170	25551	19275
171	25692	19119
172	25847	18974
173	25978	18811
174	26120	18657
175	26246	18492
176	26394	18342
177	26539	18190
178	26692	18043
179	26844	17896
180	27003	17753
181	27117	17581
182	27252	17423
183	27391	17268
184	27544	17122
185	27676	16963
186	27834	16819
187	27975	16666
188	28125	16518
189	28278	16371
190	28417	16217
191	28558	16063
192	28712	15918
193	28854	15766
194	29000	15615
195	29156	15470
196	29303	15320
197	29445	15168
198	29597	15022
199	29745	14872
200	29892	14723
201	30044	14576
202	30195	14428
203	30337	14276
204	30472	14121
205	30617	13971
206	30754	13817
207	30902	13668
208	31050	13519
209	31188	13366
210	31327	13213
211	31465	13061
212	31605	12909
213	31761	12764
214	31913	12616
215	32061	12468
216	32206	12318
217	32346	12166
218	32502	12021
219	32654	11874
220	32804	11726
221	32953	11578
222	33111	11433
223	33252	11282
224	33390	11130
225	33531	10979
226	33679	10830
227	33818	10679
228	33969	10531
229	34117	10383
230	34264	10234
231	34409	10085
232	34551	9935
233	34689	9784
234	34842	9637
235	34970	9483
236	35120	9335
237	35273	9188
238	35427	9042
239	35571	8892
240	35716	8743
241	35863	8595
242	36000	8444
243	36147	8296
244	36308	8150
245	36473	8006
246	36608	7855
247	36752	7706
248	36898	7557
249	37036	7407
250	37207	7263
251	37347	7113
252	37485	6963
253	37625	6814
254	37764	6664
255	37920	6517
256	38071	6369
257	38233	6224
258	38374	6074
259	38516	5925
260	38659	5776
261	38800	5627
262	38940	5478
263	39076	5328
264	39236	5182
265	39380	5033
266	39522	4884
267	39666	4736
268	39818	4588
269	39969	4441
270	40123	4293
271	40274	4145
272	40425	3998
273	40585	3851
274	40736	3703
275	40883	3555
276	41008	3405
277	41134	3255
278	41291	3107
279	41452	2960
280	41571	2810
281	41716	2662
282	41864	2514
283	42017	2367
284	42165	2219
285	42305	2070
286	42451	1922
287	42587	1774
288	42736	1626
289	42891	1479
290	43033	1330
291	43180	1183
292	43333	1035
293	43483	887
294	43626	739
295	43761	591
296	43911	443
297	44056	295
298	44205	147
299	44362	0
