date,view_users,cart_after_view_users,purchase_after_cart_users,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
2019-10-01,190158,8757,5229,0.04605117849367368,0.5971223021582733,0.027498185719243996
2019-10-02,184955,8851,5352,0.047854883620340086,0.6046774375776749,0.028936768403125084
2019-10-03,170655,9770,5690,0.057250007324719465,0.5823950870010235,0.033342122996689226
2019-10-04,209393,21664,11030,0.10346095619242286,0.5091395864106352,0.052676068445459016
2019-10-05,194949,17411,9220,0.08931053762778983,0.5295502843030269,0.04729442059205228
2019-10-06,193194,15771,8463,0.08163296996801143,0.5366178428761651,0.043805708251809065
2019-10-07,186939,9356,5786,0.050048411513916306,0.6184266780675503,0.030951272875108994
2019-10-08,221194,9740,5875,0.04403374413410852,0.6031827515400411,0.026560394947421722
2019-10-09,214133,9562,5878,0.04465449043351562,0.6147249529387158,0.027450229530245222
2019-10-10,205307,9954,5936,0.048483490577525365,0.5963431786216596,0.02891279888167476
2019-10-11,230514,10929,6429,0.04741143704937661,0.5882514411199561,0.02788984616986387
2019-10-12,208349,10398,6245,0.049906647020144086,0.6005962685131756,0.029973745974302732
2019-10-13,225923,12493,7422,0.05529760139516561,0.5940926919074682,0.0328519008688801
2019-10-14,209077,22560,11621,0.10790283005782558,0.5151152482269503,0.055582393089627265
2019-10-15,230118,24550,11410,0.10668439670082305,0.46476578411405295,0.04958325728539271
