feature,mean_abs_shap
user_last_event_gap_hours,0.22915181593392803
user_view_cnt_7d,0.19975643320839845
user_last_view_gap_hours,0.19053802192100727
user_purchase_item_nunique_7d,0.18724677183635355
user_active_hours_7d,0.15387735880651693
user_view_per_active_day_7d,0.13398967027105757
user_purchase_rate_7d,0.12104141399704844
user_session_cnt_7d,0.11650721537134356
user_purchase_cnt_7d,0.10964223320057855
user_last_cart_gap_hours,0.06522608508829673
user_cart_brand_nunique_7d,0.06013536791912902
user_purchase_category_nunique_7d,0.05651867023810932
user_cart_rate_7d,0.04886493132475188
user_price_std_7d,0.04672684970376784
user_view_item_nunique_7d,0.04500290836819208
user_last_purchase_gap_hours,0.038499985348676054
user_cart_category_nunique_7d,0.035671988391227184
user_active_days_7d,0.03362591958060062
user_price_median_7d,0.030306278864806545
user_unique_item_cnt_7d,0.028698686706936087
user_price_min_7d,0.026617922849929664
user_price_mean_7d,0.024275336244572728
user_view_category_nunique_7d,0.02401712356458595
user_unique_category_code_cnt_7d,0.02363089549434843
user_cart_item_nunique_7d,0.022193062985427503
user_purchase_per_cart_7d,0.019903693433796714
user_unique_category_cnt_7d,0.017640737521404548
user_price_max_7d,0.01254708379342344
user_view_brand_nunique_7d,0.00962532186982694
user_purchase_brand_nunique_7d,0.009477128300611244
user_unique_brand_cnt_7d,0.0075460369929836206
user_cart_cnt_7d,0.00695701998355461
